National_ID,Card_ID,names,governorate,balance,paid_on_raod,voiltaion_should_paid,sum_voiltaion_paid,is_paid_on_time
73411474034088,WMCRR84VCAEB,eman Zaid,Kafr_El_Sheikh,273,27971,3343,4372,1
65052092383464,HF2117V2B8LM,nada Amir,Faiyum,246,37076,3931,3299,0
72362795392934,L46741FGTB5K,Wagdi Elsadiq,Kafr_El_Sheikh,196,38783,2155,6904,0
77302472878512,K3GDZRTZH2B7, omar,Suez,422,20911,1466,4162,1
75328260960308,UH7E7RDK6EGP,eman Samir,Qalyubia,464,36285,4711,8204,0
43832231151735,KMEHXZ41KE6P,abdulrhman nader,South_Sinai,207,47558,2505,8512,1
65988415181340,8IYNGQ6YAIB0,Ahmed  ali,Qena,483,44269,1762,3400,0
48110826562482,3BT3FEOI1316,somia nader,Beni_Suef,379,31341,1186,3096,1
61062408943271,QV6EIM5B4NNX,somia Amir,Asyut,419,37709,3947,7451,0
85490943483127,KYEC7JEZ7397,abdulrhman Farhat,Alexandria,315,19350,1121,3759,1
17252339974931,0PMW7PK06O1O,Khaled Elsadiq,Asyut,205,23442,1427,2478,0
13987909278852,HGL7112CVYER,Wagdi Zaid,New_Valley,313,16725,4638,9915,1
90875807801811,OCJXCF72D1O8,reem omar,South_Sinai,300,48026,1340,4711,1
89290252206068,7MID00GWKBI1,nour Elsadiq,Faiyum,305,11122,3816,7339,1
24116494964812,38YHE83SE177,mohammed Elsadiq,Qena,350,16278,2242,6696,1
80803874584741,7AOTIN9MO9NE,badr saad,South_Sinai,428,49205,1599,4457,0
22617259245691,ZQ7ZOOMVISYH,nada nader,Sharqia,488,43698,4973,5712,0
92873823577745,TN6AO6T8B4RW,somia saad,North_Sinai,401,34721,1718,7587,0
30802785632665,QZYADSQRGUVM,abdulrhman Elsadiq,Beni_Suef,387,24069,2827,2293,1
30581738033190,ROU852B7U35U,abdulrhman nader,Monufia,432,35031,3702,9400,1
88093560184818,4B8CPGGI08UK,ibrahim Farhat,South_Sinai,387,18472,2442,8064,1
39288920823093,OTNTK6Y453IX,abdulrhman said,Alexandria,181,7087,2428,7116,1
43967143499715,YVW535RGYRQ4,reem said,Luxor,310,31889,1932,8400,0
83529509645114,H7K8EWTA742X,Khaled Samir,Luxor,313,36635,4478,4504,1
23858630251517,A7BLYXBZ6DCG,amera omar,North_Sinai,233,42173,3411,8018,1
88746988032685,NA3PVX6KRH21,amera Abdullah,Port_Said,485,46064,1255,2142,1
81816347790185,TFRGIG79FUBG,nour ali,Luxor,283,32686,3841,2782,1
80934857658976,S4HOKQDTMLVB,abdulrhman Zaid,Port_Said,146,14109,2023,2366,0
